recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,19MAY19,0031,POST,21MAY19,JBU, 255 ,10,21,20190521,20190521,1229,1405,298   ,20190519,SC05,BOS ,0829,DM,-0400,DCA ,1005,-0400,E90 ,,,C28 ,0829,1229,,,,,1005,1405,,,317 ,,,,,,0,,,E90 ,,5278369,,,,0,0,0,>1579 ,,JFK,3,0,2019-05-21 12:29:00.000,0,2019-05-21 14:05:00.000,18,7,0,0,0255
,19MAY19,0041,ak14,21MAY19,JBU, 260 ,10,21,20190521,20190521,1754,1922,228   ,20190519,,PHL ,1354,DM,-0400,BOS ,1522,-0400,E90 ,,,E4  ,1354,1754,,,,C30 ,1522,1922,,,,,,,,,0,,,E90 ,,5278381,,,,0,0,0,> 783 ,,JFK,3,0,2019-05-21 17:54:00.000,0,2019-05-21 19:22:00.000,15,7,0,0,0260
,19MAY19,1208,PLNK,21MAY19,JBU, 263 ,10,21,20190521,20190521,2130,0407,967   ,20190519,,JFK ,1730,DM,-0400,SEA ,2107,-0700,32S ,,,,1730,2130,,,,B15 ,2107,0407,,,,,,,,,0,,,32S ,,5278391,,,,0,0,0,> 264 ,,JFK,3,0,2019-05-21 21:30:00.000,0,2019-05-22 04:07:00.000,29,7,0,0,0263
,18MAY19,1209,PLNK,21MAY19,JBU, 264 ,10,21,20190521,20190522,0517,1049,967   ,20190518,,SEA ,2217,DM,-0700,JFK ,0649,-0400,32S ,,,B15 ,2217,0517,,,,,0649,1049,,,,,,,,,0,,,32S ,,5278401,,,,0,0,0,> 323 ,,JFK,3,0,2019-05-22 05:17:00.000,0,2019-05-22 10:49:00.000,14,7,0,0,0264
,19MAY19,0509,TP57,21MAY19,JBU, 265 ,10,21,20190521,20190521,1555,1716,779   ,20190519,SC20,SMF ,0855,DM,-0700,LGB ,1016,-0700,320 ,,,B6  ,0855,1555,,,,,1016,1716,,,566 ,,,,,,0,,,320 ,,5278413,,,,0,0,0,>2506 ,,JFK,3,0,2019-05-21 15:55:00.000,0,2019-05-21 17:16:00.000,12,7,0,0,0265
,20MAY19,0449,POST,21MAY19,JBU, 266 ,10,21,20190521,20190521,1355,1515,779   ,20190520,SC20,LGB ,0655,DM,-0700,SMF ,0815,-0700,320 ,,,8   ,0655,1355,,,,B6  ,0815,1515,,,566 ,,,,,,0,,,320 ,,5278424,,,,0,0,0,> 265 ,,JFK,3,1,2019-05-21 13:55:00.000,3,2019-05-21 15:15:00.000,13,7,0,0,0266
,18MAY19,1209,PLNK,21MAY19,JBU, 268 ,10,21,20190521,20190521,1457,1859,975   ,20190518,SC05,PUJ ,1057,DM,-0400,JFK ,1459,-0400,321 ,,,,1057,1457,,,,,1459,1859,,,959 ,,,,,,0,,,321 ,,5278435,,,,0,0,0,> 161 ,,JFK,3,0,2019-05-21 14:57:00.000,0,2019-05-21 18:59:00.000,15,7,0,0,0268
,19MAY19,0031,POST,21MAY19,JBU, 269 ,10,21,20190521,20190521,1314,1641,804   ,20190519,,BOS ,0914,DM,-0400,FLL ,1241,-0400,32A ,,,C32 ,0914,1314,,,,,1241,1641,,,,,,,,,0,,,32A ,,5278440,,,,0,0,0,> 468 ,,JFK,3,1,2019-05-21 13:14:00.000,3,2019-05-21 16:41:00.000,18,7,0,0,0269
,20MAY19,0435,MSPE,21MAY19,JBU, 272 ,10,21,20190521,20190521,1005,1253,589   ,20190520,SC01,FLL ,0605,DM,-0400,LGA ,0853,-0400,320 ,,,,0605,1005,,,,,0853,1253,,,554 ,,,,,,0,,,320 ,,5278457,,,,0,0,0,> 971 ,,JFK,3,1,2019-05-21 10:05:00.000,3,2019-05-21 12:53:00.000,17,7,0,0,0272
,20MAY19,0610,RF98,21MAY19,JBU, 275 ,10,21,20190521,20190521,1000,1348,661   ,20190520,SC03,BDL ,0600,DM,-0400,SJU ,0948,-0400,320 ,,,5   ,0600,1000,,,,A6  ,0948,1348,,,588 ,,,,,,0,,,320 ,,5278467,,,,0,0,0,>1052 ,,JFK,3,1,2019-05-21 10:00:00.000,3,2019-05-21 13:48:00.000,15,7,0,0,0275
,19MAY19,1208,PLNK,21MAY19,JBU, 277 ,10,21,20190521,20190521,2331,0546,944   ,20190519,SC02,FLL ,1931,DM,-0400,SFO ,2246,-0700,32S ,,,,1931,2331,,,,,2246,0546,,,990 ,,,,,,0,,,32S ,,5278477,,,,0,0,0,>1516 ,,JFK,3,0,2019-05-21 23:31:00.000,0,2019-05-22 05:46:00.000,17,7,0,0,0277
,18MAY19,1209,PLNK,21MAY19,JBU, 278 ,10,21,20190521,20190522,0623,1200,978   ,20190518,SC05,SFO ,2323,DM,-0700,FLL ,0800,-0400,32S ,,,,2323,0623,,,,,0800,1200,,,937 ,,,,,,0,,,32S ,,5278489,,,,0,0,0,> 701 ,,JFK,3,0,2019-05-22 06:23:00.000,0,2019-05-22 12:00:00.000,15,7,0,0,0278
