recordStatus,lastDateModified,lastTimeModified,lastUserToModify,legDepartureDate,airlineCode,identifier,sequence,flightOriginDay,numericFlightDate,numGMTDate,STDudt,STAudt,tailNumber,numLastDateModified,flightStatus,origin,STDLocal,dispatchDesk,STDGMTVariance,destination,STALocal,STAGMTVariance,OAGEquipmentType,ACConfiguration,serviceType,originGate,ETDlocal,ETDudt,TAXIutc,OUTudt,OFFudt,destinationGate,ETAlocal,ETAudt,ONudt,INudt,previousTailNumber,ETE,DCNutc,ETOutc,EONutc,EDTCutc,flightType,newDepartureCity,newArrivalCity,SchedOAGEquipType,OAGEquipSubType,csvFSDailyID,tailNumBeforeCancel,CTAUTC,cancelled,replaced,ATCStatus,scheduledFlightType,aircraftRouting,mealService,hub,landingRestriction,headStartFlight,actualDeparture,specialFlight,actualArrival,scheduledTaxiOut,scheduledTaxiIn,STOSetByUser,STISetByUser,CTFlightNumber
,17MAY19,0757,POST,16MAY19,JBU, 630 ,10,16,20190516,20190516,0722,1012,949   ,20190517,SC05,BQN ,0322,DM,-0400,MCO ,0612,-0400,321 ,,,7   ,0322,0722,,0707,0719,,0609,1009,1002,1011,972 ,,,,,,0,,,321 ,,5280596,,,,0,0,0,> 729 ,,JFK,2,1,2019-05-16 07:07:00.000,0,2019-05-16 10:11:00.000,10,7,0,0,0630
,17MAY19,0745,POST,16MAY19,JBU, 631 ,10,16,20190516,20190516,1045,1204,346   ,20190517,SC30,BOS ,0645,DM,-0400,LGA ,0804,-0400,E90 ,,,,0645,1045,,1046,1058,,0802,1202,1155,1204,354 ,,,,,,0,,,E90 ,,5280606,,,,0,0,0,> 632 ,,JFK,2,1,2019-05-16 10:46:00.000,3,2019-05-16 12:04:00.000,18,7,0,0,0631
,17MAY19,0745,POST,16MAY19,JBU, 632 ,10,16,20190516,20190516,1330,1455,346   ,20190517,SC30,LGA ,0930,DM,-0400,BOS ,1055,-0400,E90 ,,,,0930,1330,,1350,1409,,1111,1511,,,354 ,,,,,,0,,,E90 ,,5280614,,,,0,0,0,> 831 ,,JFK,2,0,2019-05-16 13:50:00.000,0,2019-05-16 15:11:00.000,23,7,0,0,0632
,17MAY19,0758,POST,16MAY19,JBU, 633 ,10,16,20190516,20190516,1915,0157,968   ,20190517,,BOS ,1515,DM,-0400,SFO ,1857,-0700,32S ,,,,1515,1915,,,,,1857,0157,,,,,,,,,0,,,32S ,,5280624,,,,0,0,0,> 834 ,,JFK,2,1,2019-05-16 19:15:00.000,0,2019-05-17 01:57:00.000,18,7,0,0,0633
,17MAY19,0750,POST,16MAY19,JBU, 634 ,10,16,20190516,20190516,1518,1918,569   ,20190517,SC05,PAP ,1118,DM,-0400,JFK ,1518,-0400,320 ,,,,1326,1726,,,1712,,1557,1957,1950,1952,703 ,,,,,,0,,,320 ,,5280636,,,,0,0,0,>1013 ,,JFK,2,0,2019-05-16 17:26:00.000,0,2019-05-16 19:52:00.000,15,7,0,0,0634
,17MAY19,0754,POST,16MAY19,JBU, 636 ,10,16,20190516,20190516,1332,1719,656   ,20190517,SC05,STI ,0932,DM,-0400,JFK ,1319,-0400,320 ,,,,0932,1332,,1346,1406,,1109,1509,1502,1506,663 ,,,,,,0,,,320 ,,5280645,,,,0,0,0,>  37 ,,JFK,2,0,2019-05-16 13:46:00.000,0,2019-05-16 15:06:00.000,14,7,0,0,0636
,17MAY19,0740,POST,16MAY19,JBU, 640 ,10,16,20190516,20190516,2345,0129,178   ,20190517,,CLE ,1945,DM,-0400,BOS ,2129,-0400,E90 ,,,C6  ,1945,2345,,,,,2053,0053,0046,0050,,,,,,,0,,,E90 ,,5280658,,,,0,0,0,>  11 ,,JFK,2,0,2019-05-16 23:45:00.000,0,2019-05-17 00:50:00.000,15,7,0,0,0640
,17MAY19,0740,POST,16MAY19,JBU, 641 ,10,16,20190516,20190516,2106,2310,178   ,20190517,,BOS ,1706,DM,-0400,CLE ,1910,-0400,E90 ,,,,1706,2106,,,,C6  ,1821,2221,2214,2220,,,,,,,0,,,E90 ,,5280668,,,,0,0,0,> 640 ,,JFK,2,0,2019-05-16 21:06:00.000,0,2019-05-16 22:20:00.000,18,7,0,0,0641
,17MAY19,0750,POST,16MAY19,JBU, 643 ,10,16,20190516,20190516,1302,1605,565   ,20190517,SC05,EWR ,0902,DM,-0400,PBI ,1205,-0400,320 ,,,,0902,1302,,1523,1539,,1231,1631,1624,1629,547 ,,,,,,0,,,320 ,,5280679,,,,0,0,0,> 362 ,,JFK,2,1,2019-05-16 15:23:00.000,3,2019-05-16 16:29:00.000,25,7,0,0,0643
,17MAY19,0752,POST,16MAY19,JBU, 644 ,10,16,20190516,20190516,1233,1522,608   ,20190517,SC05,PBI ,0833,DM,-0400,EWR ,1122,-0400,320 ,,,,0833,1233,,1228,1238,,1112,1512,1505,1513,583 ,,,,,,0,,,320 ,,5280690,,,,0,0,0,> 305 ,,JFK,2,1,2019-05-16 12:28:00.000,3,2019-05-16 15:13:00.000,14,7,0,0,0644
,17MAY19,0745,POST,16MAY19,JBU, 645 ,10,16,20190516,20190516,2100,2323,324   ,20190517,,RIC ,1700,DM,-0400,FLL ,1923,-0400,E90 ,,,,1700,2100,,,,,1752,2152,2145,2154,,,,,,,0,,,E90 ,,5280699,,,,0,0,0,>1680 ,,JFK,2,0,2019-05-16 21:00:00.000,0,2019-05-16 21:54:00.000,15,7,0,0,0645
,17MAY19,0745,POST,16MAY19,JBU, 646 ,10,16,20190516,20190516,1808,2025,324   ,20190517,,FLL ,1408,DM,-0400,RIC ,1625,-0400,E90 ,,,,1408,1808,,,,,1458,1858,1851,1855,,,,,,,0,,,E90 ,,5280706,,,,0,0,0,> 645 ,,JFK,2,0,2019-05-16 18:08:00.000,0,2019-05-16 18:55:00.000,17,7,0,0,0646
,17MAY19,0754,POST,16MAY19,JBU, 647 ,10,16,20190516,20190516,2313,0449,653   ,20190517,SC03,BOS ,1913,DM,-0400,SLC ,2249,-0600,32M ,,,,1913,2313,,2319,2333,G4  ,2011,0211,0204,0206,529 ,,,,,,0,,,32M ,,5280713,,,,0,0,0,> 648 ,,JFK,2,0,2019-05-16 23:19:00.000,0,2019-05-17 02:06:00.000,18,7,0,0,0647
,17MAY19,0754,POST,16MAY19,JBU, 648 ,10,16,20190516,20190517,0539,1017,653   ,20190517,SC03,SLC ,2339,DM,-0600,BOS ,0617,-0400,32M ,,,G4  ,2339,0539,,,,,0617,1017,,,529 ,,,,,,0,,,32M ,,5280721,,,,0,0,0,>1807 ,,JFK,2,0,2019-05-17 05:39:00.000,0,2019-05-17 10:17:00.000,17,7,0,0,0648
,17MAY19,0740,POST,16MAY19,JBU, 654 ,10,16,20190516,20190516,1505,1631,190   ,20190517,SC05,DCA ,1105,DM,-0400,BOS ,1231,-0400,E90 ,,,,1105,1505,,1505,1510,,1130,1530,1523,1525,258 ,,,,,,0,,,E90 ,,5280732,,,,0,0,0,>2979 ,,JFK,2,0,2019-05-16 15:05:00.000,0,2019-05-16 15:25:00.000,15,7,0,0,0654
,17MAY19,0753,POST,16MAY19,JBU, 655 ,10,16,20190516,20190516,1020,1307,644   ,20190517,AU01,SYR ,0620,DM,-0400,MCO ,0907,-0400,32C ,,,,0620,1020,,1011,1023,,0837,1237,1230,1240,,,,,,,0,,,32H ,,5280741,,,,0,0,0,>1721 ,,JFK,2,0,2019-05-16 10:11:00.000,3,2019-05-16 12:40:00.000,13,7,0,0,0655
,17MAY19,0752,POST,16MAY19,JBU, 656 ,10,16,20190516,20190517,0120,0401,605   ,20190517,AU01,MCO ,2120,DM,-0400,SYR ,0001,-0400,32C ,,,,2120,0120,,0118,0130,,2358,0358,0351,0353,,,,,,,0,,,32H ,,5280752,,,,0,0,0,> 655 ,,JFK,2,0,2019-05-17 01:18:00.000,0,2019-05-17 03:53:00.000,16,7,0,0,0656
,17MAY19,0753,POST,16MAY19,JBU, 657 ,10,16,20190516,20190516,1100,1347,643   ,20190517,,CLE ,0700,DM,-0400,FLL ,0947,-0400,320 ,,,C6  ,0700,1100,,1052,1102,,0929,1329,1322,1326,,,,,,,0,,,320 ,,5280762,,,,0,0,0,>1127 ,,JFK,2,1,2019-05-16 10:52:00.000,3,2019-05-16 13:26:00.000,15,7,0,0,0657
